date,home_team,away_team,home_score,away_score,home_odds,away_odds
,Boston Celtics,Dallas Mavericks,,106,1.32,2.93
,Dallas Mavericks,Boston Celtics,,122,1.87,1.76
,Dallas Mavericks,Boston Celtics,99,106,1.60,2.09
,Boston Celtics,Dallas Mavericks,,105,1.31,2.88
,Boston Celtics,Dallas Mavericks,,107,1.48,2.25
2024-05-31,Minnesota Timberwolves,Dallas Mavericks,103,124,1.43,2.41
2024-05-29,Dallas Mavericks,Minnesota Timberwolves,100,105,1.71,1.89
2024-05-28,Indiana Pacers,Boston Celtics,102,105,3.00,1.28
2024-05-27,Dallas Mavericks,Minnesota Timberwolves,,116,1.76,1.87
2024-05-26,Indiana Pacers,Boston Celtics,111,114,2.88,1.30
2024-05-25,Minnesota Timberwolves,Dallas Mavericks,108,109,1.34,2.70
2024-05-24,Boston Celtics,Indiana Pacers,,126,1.40,2.59
2024-05-23,Minnesota Timberwolves,Dallas Mavericks,105,108,1.46,2.30
2024-05-22,Boston Celtics,Indiana Pacers,,133,1.20,3.88
2024-05-20,Denver Nuggets,Minnesota Timberwolves,90,98,1.46,2.39
2024-05-19,New York Knicks,Indiana Pacers,109,130,1.60,2.11
2024-05-19,Dallas Mavericks,Oklahoma City Thunder,,117,1.52,2.26
2024-05-18,Indiana Pacers,New York Knicks,,116,1.42,2.52
2024-05-17,Minnesota Timberwolves,Denver Nuggets,,115,1.70,1.94
2024-05-16,Oklahoma City Thunder,Dallas Mavericks,92,104,1.47,2.34
2024-05-16,Boston Celtics,Cleveland Cavaliers,,113,1.05,7.20
2024-05-15,Denver Nuggets,Minnesota Timberwolves,,112,1.47,2.37
2024-05-15,New York Knicks,Indiana Pacers,,121,1.76,1.90
2024-05-14,Dallas Mavericks,Oklahoma City Thunder,96,100,1.73,1.90
2024-05-14,Cleveland Cavaliers,Boston Celtics,102,109,4.98,1.11
2024-05-13,Minnesota Timberwolves,Denver Nuggets,107,115,1.52,2.28
2024-05-12,Indiana Pacers,New York Knicks,,121,1.38,2.65
2024-05-12,Cleveland Cavaliers,Boston Celtics,93,106,3.12,1.28
2024-05-11,Dallas Mavericks,Oklahoma City Thunder,,105,1.69,1.97
2024-05-11,Minnesota Timberwolves,Denver Nuggets,90,117,1.55,2.20
2024-05-11,Indiana Pacers,New York Knicks,,111,1.30,3.01
2024-05-10,Oklahoma City Thunder,Dallas Mavericks,110,119,1.47,2.43
2024-05-10,Boston Celtics,Cleveland Cavaliers,94,118,1.10,5.17
2024-05-09,New York Knicks,Indiana Pacers,,130,1.49,2.27
2024-05-08,Oklahoma City Thunder,Dallas Mavericks,,117,1.47,2.36
2024-05-08,Boston Celtics,Cleveland Cavaliers,,120,1.11,5.30
2024-05-07,Denver Nuggets,Minnesota Timberwolves,80,106,1.30,3.04
2024-05-07,New York Knicks,Indiana Pacers,,121,1.41,2.61
2024-05-05,Cleveland Cavaliers,Orlando Magic,,106,1.57,2.15
2024-05-05,Denver Nuggets,Minnesota Timberwolves,99,106,1.48,2.35
2024-05-04,Dallas Mavericks,Los Angeles Clippers,,114,1.23,3.42
2024-05-04,Orlando Magic,Cleveland Cavaliers,,103,1.47,2.36
2024-05-03,Philadelphia 76ers,New York Knicks,115,118,1.60,2.12
2024-05-03,Indiana Pacers,Milwaukee Bucks,,120,1.38,2.66
2024-05-02,Los Angeles Clippers,Dallas Mavericks,93,123,2.07,1.62
2024-05-02,Boston Celtics,Miami Heat,,118,1.07,5.88
2024-05-01,Milwaukee Bucks,Indiana Pacers,,115,2.44,1.42
2024-05-01,Cleveland Cavaliers,Orlando Magic,,104,1.45,2.35
2024-05-01,New York Knicks,Philadelphia 76ers,106,112,1.50,2.23
,Denver Nuggets,Los Angeles Lakers,,108,1.34,2.73
,New Orleans Pelicans,Oklahoma City Thunder,89,97,2.42,1.43
,Miami Heat,Boston Celtics,88,102,4.22,1.14
,Phoenix Suns,Minnesota Timberwolves,116,122,1.75,1.83
,Indiana Pacers,Milwaukee Bucks,,126,1.18,3.71
,Dallas Mavericks,Los Angeles Clippers,111,116,1.31,2.90
,Philadelphia 76ers,New York Knicks,92,97,1.41,2.51
,Los Angeles Lakers,Denver Nuggets,,119,2.20,1.56
,Miami Heat,Boston Celtics,84,104,3.91,1.17
,New Orleans Pelicans,Oklahoma City Thunder,85,106,1.88,1.73
,Orlando Magic,Cleveland Cavaliers,,112,1.65,2.04
,Phoenix Suns,Minnesota Timberwolves,109,126,1.38,2.69
,Dallas Mavericks,Los Angeles Clippers,,101,1.47,2.37
,Indiana Pacers,Milwaukee Bucks,,121,1.35,2.80
,Los Angeles Lakers,Denver Nuggets,105,112,1.75,1.89
,Philadelphia 76ers,New York Knicks,76,125,1.40,2.60
,Orlando Magic,Cleveland Cavaliers,,121,1.61,2.08
,Oklahoma City Thunder,New Orleans Pelicans,,124,1.29,3.03
,Boston Celtics,Miami Heat,101,111,1.07,6.05
,Los Angeles Clippers,Dallas Mavericks,93,96,1.74,1.88
,Milwaukee Bucks,Indiana Pacers,108,125,1.75,1.86
,Minnesota Timberwolves,Phoenix Suns,,105,1.60,2.07
,Denver Nuggets,Los Angeles Lakers,,101,1.30,2.95
,New York Knicks,Philadelphia 76ers,,104,1.48,2.33
,Cleveland Cavaliers,Orlando Magic,,96,1.41,2.53
,Oklahoma City Thunder,New Orleans Pelicans,,94,1.22,3.57
,Milwaukee Bucks,Indiana Pacers,,109,1.86,1.78
,Los Angeles Clippers,Dallas Mavericks,,109,2.25,1.52
,Boston Celtics,Miami Heat,,114,1.07,6.07
,Denver Nuggets,Los Angeles Lakers,,114,1.33,2.89
,New York Knicks,Philadelphia 76ers,,111,1.49,2.33
,Minnesota Timberwolves,Phoenix Suns,,120,1.67,1.99
,Cleveland Cavaliers,Orlando Magic,,97,1.40,2.58
,New Orleans Pelicans,Sacramento Kings,,105,1.78,1.85
,Miami Heat,Chicago Bulls,,112,1.66,2.00
,Chicago Bulls,Atlanta Hawks,,131,1.58,2.14
,Philadelphia 76ers,Miami Heat,76,105,1.41,2.55
,Sacramento Kings,Golden State Warriors,,118,2.08,1.60
,New Orleans Pelicans,Los Angeles Lakers,106,110,1.77,1.84
,Golden State Warriors,Utah Jazz,,123,1.15,4.18
,Los Angeles Clippers,Houston Rockets,105,116,2.28,1.49
,Memphis Grizzlies,Denver Nuggets,111,126,5.45,1.07
,Minnesota Timberwolves,Phoenix Suns,106,125,1.66,1.96
,New Orleans Pelicans,Los Angeles Lakers,108,124,1.70,1.91
,Oklahoma City Thunder,Dallas Mavericks,,135,1.02,7.63
,Sacramento Kings,Portland Trail Blazers,,121,1.03,7.18
,San Antonio Spurs,Detroit Pistons,,123,1.44,2.41
,Boston Celtics,Washington Wizards,,132,1.18,3.82
,Cleveland Cavaliers,Charlotte Hornets,110,120,1.07,5.68
,Indiana Pacers,Atlanta Hawks,,157,1.07,5.72
,New York Knicks,Chicago Bulls,,120,1.09,5.08
,Miami Heat,Toronto Raptors,,118,1.03,6.83
,Orlando Magic,Milwaukee Bucks,,113,1.38,2.60
,Philadelphia 76ers,Brooklyn Nets,76,107,1.09,5.13
,Los Angeles Clippers,Utah Jazz,109,110,1.05,6.67
,Sacramento Kings,Phoenix Suns,107,108,2.36,1.46
,Golden State Warriors,New Orleans Pelicans,109,114,1.48,2.34
,Portland Trail Blazers,Houston Rockets,107,116,2.63,1.38
,Dallas Mavericks,Detroit Pistons,89,107,1.12,4.62
,Memphis Grizzlies,Los Angeles Lakers,120,123,6.33,1.06
,Miami Heat,Toronto Raptors,,125,1.07,5.82
,Minnesota Timberwolves,Atlanta Hawks,,109,1.10,5.05
,Oklahoma City Thunder,Milwaukee Bucks,,125,1.08,5.50
,San Antonio Spurs,Denver Nuggets,,121,4.57,1.12
,Boston Celtics,Charlotte Hornets,,131,1.32,2.87
,Cleveland Cavaliers,Indiana Pacers,,129,1.62,2.06
,New York Knicks,Brooklyn Nets,,111,1.12,4.70
,Philadelphia 76ers,Orlando Magic,76,125,1.35,2.66
,Washington Wizards,Chicago Bulls,127,129,1.70,1.94
,Portland Trail Blazers,Golden State Warriors,92,100,5.58,1.07
,Sacramento Kings,New Orleans Pelicans,123,135,1.71,1.88
,Utah Jazz,Houston Rockets,,124,4.37,1.14
,Boston Celtics,New York Knicks,109,118,1.58,2.10
,Detroit Pistons,Chicago Bulls,105,127,4.35,1.13
,Los Angeles Clippers,Phoenix Suns,108,124,4.37,1.14
,Denver Nuggets,Minnesota Timberwolves,,116,1.29,3.03
,Milwaukee Bucks,Orlando Magic,,117,1.96,1.67
,Oklahoma City Thunder,San Antonio Spurs,,127,1.04,7.03
,Atlanta Hawks,Charlotte Hornets,114,115,1.19,3.77
,Brooklyn Nets,Toronto Raptors,,106,1.11,4.76
,Miami Heat,Dallas Mavericks,92,111,2.00,1.63
,Cleveland Cavaliers,Memphis Grizzlies,,110,1.02,7.47
,Los Angeles Lakers,Golden State Warriors,120,134,1.97,1.67
,Phoenix Suns,Los Angeles Clippers,92,105,1.21,3.67
,Portland Trail Blazers,New Orleans Pelicans,100,110,5.95,1.07
,Utah Jazz,Denver Nuggets,95,111,7.13,1.04
,Chicago Bulls,New York Knicks,117,128,2.43,1.45
,Houston Rockets,Orlando Magic,,118,2.02,1.64
,Memphis Grizzlies,San Antonio Spurs,87,102,2.55,1.40
,Minnesota Timberwolves,Washington Wizards,,130,1.03,7.88
,Oklahoma City Thunder,Sacramento Kings,,112,1.42,2.51
,Atlanta Hawks,Miami Heat,111,117,2.16,1.56
,Milwaukee Bucks,Boston Celtics,,104,1.54,2.19
,Charlotte Hornets,Dallas Mavericks,104,130,5.23,1.10
,Philadelphia 76ers,Detroit Pistons,76,120,1.04,6.53
,Toronto Raptors,Indiana Pacers,123,140,5.80,1.08
,Los Angeles Lakers,Minnesota Timberwolves,117,127,1.99,1.66
,Golden State Warriors,Utah Jazz,,118,1.10,4.97
,Brooklyn Nets,Sacramento Kings,77,107,4.12,1.15
,Milwaukee Bucks,New York Knicks,109,122,1.47,2.29
,San Antonio Spurs,Philadelphia 76ers,126,133,2.28,1.48
,Boston Celtics,Portland Trail Blazers,,124,1.03,6.77
,Charlotte Hornets,Oklahoma City Thunder,118,121,3.15,1.27
,Orlando Magic,Chicago Bulls,,113,1.30,2.98
,Phoenix Suns,New Orleans Pelicans,105,113,1.39,2.59
,Toronto Raptors,Washington Wizards,,130,1.44,2.38
,Indiana Pacers,Miami Heat,,117,1.60,2.05
,Dallas Mavericks,Houston Rockets,,147,1.20,3.73
,Los Angeles Clippers,Cleveland Cavaliers,,120,1.49,2.25
,Denver Nuggets,Atlanta Hawks,,142,1.13,4.35
,Memphis Grizzlies,Philadelphia 76ers,96,116,6.17,1.05
,Brooklyn Nets,Detroit Pistons,,113,1.16,3.92
,Los Angeles Lakers,Cleveland Cavaliers,,116,1.42,2.42
,Los Angeles Clippers,Utah Jazz,,131,1.09,5.22
,Phoenix Suns,Minnesota Timberwolves,,97,1.46,2.35
,Dallas Mavericks,Golden State Warriors,,108,1.79,1.81
,Chicago Bulls,New York Knicks,,108,1.86,1.75
,Houston Rockets,Miami Heat,104,119,2.19,1.54
,Memphis Grizzlies,Detroit Pistons,,108,1.76,1.84
,Milwaukee Bucks,Toronto Raptors,111,117,1.08,5.58
,New Orleans Pelicans,San Antonio Spurs,109,111,1.10,4.97
,Boston Celtics,Sacramento Kings,,101,1.20,3.66
,Charlotte Hornets,Orlando Magic,,124,5.00,1.10
,Indiana Pacers,Oklahoma City Thunder,,126,1.34,2.77
,Washington Wizards,Portland Trail Blazers,102,108,1.63,2.02
,Los Angeles Clippers,Denver Nuggets,,102,2.11,1.58
,Houston Rockets,Golden State Warriors,110,133,2.11,1.58
,Dallas Mavericks,Atlanta Hawks,,109,1.11,4.87
,Miami Heat,Philadelphia 76ers,105,109,1.59,2.09
,New York Knicks,Sacramento Kings,,120,1.54,2.19
,Phoenix Suns,Cleveland Cavaliers,,122,1.37,2.66
,Milwaukee Bucks,Memphis Grizzlies,101,111,1.09,5.43
,Minnesota Timberwolves,Toronto Raptors,,133,1.03,7.32
,New Orleans Pelicans,Orlando Magic,108,117,1.44,2.43
,Atlanta Hawks,Detroit Pistons,,121,1.11,4.83
,Boston Celtics,Oklahoma City Thunder,,135,1.10,5.17
,Brooklyn Nets,Indiana Pacers,,115,2.88,1.31
,Charlotte Hornets,Portland Trail Blazers,86,89,1.72,1.90
,Washington Wizards,Los Angeles Lakers,120,125,5.60,1.08
,Golden State Warriors,Dallas Mavericks,,104,1.80,1.81
,Sacramento Kings,Los Angeles Clippers,,109,1.61,2.05
,Denver Nuggets,San Antonio Spurs,,110,1.05,6.75
,Utah Jazz,Cleveland Cavaliers,113,129,3.90,1.18
,Minnesota Timberwolves,Houston Rockets,,113,1.29,3.02
,Miami Heat,New York Knicks,,109,1.63,2.01
,Philadelphia 76ers,Oklahoma City Thunder,76,109,1.60,2.07
,Toronto Raptors,Los Angeles Lakers,111,128,5.80,1.07
,Washington Wizards,Milwaukee Bucks,,117,5.98,1.07
,Chicago Bulls,Atlanta Hawks,101,113,1.66,1.97
,New Orleans Pelicans,Phoenix Suns,111,124,1.71,1.90
,Charlotte Hornets,Boston Celtics,104,118,7.72,1.02
,Detroit Pistons,Memphis Grizzlies,108,110,1.61,2.05
,Indiana Pacers,Brooklyn Nets,,133,1.10,5.00
,Orlando Magic,Portland Trail Blazers,,104,1.03,7.23
,Sacramento Kings,Utah Jazz,,127,1.08,5.62
,Houston Rockets,Dallas Mavericks,107,125,2.21,1.53
,Minnesota Timberwolves,Chicago Bulls,101,109,1.21,3.63
,New York Knicks,Oklahoma City Thunder,112,113,1.93,1.69
,San Antonio Spurs,Golden State Warriors,113,117,4.02,1.17
,Brooklyn Nets,Los Angeles Lakers,104,116,2.82,1.33
,Charlotte Hornets,Los Angeles Clippers,118,130,6.30,1.06
,Toronto Raptors,Philadelphia 76ers,120,135,3.76,1.19
,Washington Wizards,Miami Heat,107,119,4.68,1.12
,Denver Nuggets,Cleveland Cavaliers,,130,1.46,2.36
,Atlanta Hawks,Milwaukee Bucks,113,122,2.41,1.43
,Orlando Magic,Memphis Grizzlies,,118,1.09,5.27
,New Orleans Pelicans,Boston Celtics,92,104,2.66,1.38
,Sacramento Kings,Dallas Mavericks,103,107,1.82,1.77
,Utah Jazz,Houston Rockets,100,101,3.25,1.24
