date,home_team,away_team,home_score,away_score,home_odds,away_odds
2023-06-13,Denver Nuggets,Miami Heat,,94,1.29,3.45
2023-06-10,Miami Heat,Denver Nuggets,95,108,2.13,1.62
2023-06-08,Miami Heat,Denver Nuggets,94,109,2.26,1.59
2023-06-05,Denver Nuggets,Miami Heat,108,111,1.28,3.42
2023-06-02,Denver Nuggets,Miami Heat,,104,1.27,3.60
2023-05-30,Boston Celtics,Miami Heat,84,103,1.31,3.10
2023-05-28,Miami Heat,Boston Celtics,103,104,1.98,1.67
2023-05-26,Boston Celtics,Miami Heat,,110,1.28,3.30
2023-05-24,Miami Heat,Boston Celtics,99,116,1.77,1.92
2023-05-23,Los Angeles Lakers,Denver Nuggets,111,113,1.57,2.24
2023-05-22,Miami Heat,Boston Celtics,,128,2.37,1.51
2023-05-21,Los Angeles Lakers,Denver Nuggets,108,119,1.40,2.70
2023-05-20,Boston Celtics,Miami Heat,105,111,1.20,4.05
2023-05-19,Denver Nuggets,Los Angeles Lakers,,108,1.43,2.60
2023-05-18,Boston Celtics,Miami Heat,116,123,1.23,3.59
2023-05-17,Denver Nuggets,Los Angeles Lakers,,132,1.34,2.95
2023-05-14,Boston Celtics,Philadelphia 76ers,,112,1.40,2.67
2023-05-13,Los Angeles Lakers,Golden State Warriors,,122,1.61,2.17
2023-05-13,Miami Heat,New York Knicks,,96,1.38,2.79
2023-05-12,Phoenix Suns,Denver Nuggets,100,125,1.74,1.91
2023-05-12,Philadelphia 76ers,Boston Celtics,86,95,2.07,1.66
2023-05-11,Golden State Warriors,Los Angeles Lakers,,121,1.30,3.18
2023-05-11,New York Knicks,Miami Heat,,112,1.58,2.23
2023-05-10,Denver Nuggets,Phoenix Suns,,118,1.36,2.90
2023-05-10,Boston Celtics,Philadelphia 76ers,103,115,1.29,3.20
2023-05-09,Los Angeles Lakers,Golden State Warriors,,104,1.66,2.09
2023-05-09,Miami Heat,New York Knicks,,109,1.51,2.37
2023-05-08,Phoenix Suns,Denver Nuggets,,129,1.80,1.88
2023-05-07,Philadelphia 76ers,Boston Celtics,76,116,1.84,1.84
2023-05-07,Los Angeles Lakers,Golden State Warriors,,127,1.59,2.21
2023-05-06,Miami Heat,New York Knicks,,105,1.52,2.30
2023-05-06,Phoenix Suns,Denver Nuggets,,121,1.51,2.38
2023-05-06,Philadelphia 76ers,Boston Celtics,102,114,2.09,1.65
2023-05-05,Golden State Warriors,Los Angeles Lakers,,127,1.32,3.08
2023-05-04,Boston Celtics,Philadelphia 76ers,,121,1.27,3.37
2023-05-03,Golden State Warriors,Los Angeles Lakers,112,117,1.49,2.34
2023-05-03,New York Knicks,Miami Heat,,111,1.18,4.33
2023-05-02,Denver Nuggets,Phoenix Suns,,97,1.51,2.29
2023-05-02,Boston Celtics,Philadelphia 76ers,115,119,1.15,4.47
2023-04-30,Sacramento Kings,Golden State Warriors,100,120,1.79,1.90
2023-04-30,New York Knicks,Miami Heat,101,108,1.55,2.30
2023-04-30,Denver Nuggets,Phoenix Suns,,125,1.52,2.35
2023-04-29,Los Angeles Lakers,Memphis Grizzlies,,125,1.45,2.55
2023-04-29,Golden State Warriors,Sacramento Kings,99,118,1.30,3.19
2023-04-28,Atlanta Hawks,Boston Celtics,120,128,3.13,1.32
2023-04-27,Sacramento Kings,Golden State Warriors,116,123,1.97,1.69
2023-04-27,Milwaukee Bucks,Miami Heat,126,128,1.12,4.98
2023-04-27,Memphis Grizzlies,Los Angeles Lakers,,116,1.48,2.48
2023-04-27,Cleveland Cavaliers,New York Knicks,95,106,1.40,2.73
